"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENTREZID_mappings","Ecol_K-12MG1655_1G_CTRL_Rep1","Ecol_K-12MG1655_1G_CTRL_Rep2","Ecol_K-12MG1655_1G_CTRL_Rep3","Ecol_K-12MG1655_1G_CTRL_Rep4","Ecol_K-12MG1655_uG_Clinorotation_Rep1","Ecol_K-12MG1655_uG_Clinorotation_Rep2","Ecol_K-12MG1655_uG_Clinorotation_Rep3","Ecol_K-12MG1655_uG_Clinorotation_Rep4"
NA,NA,NA,NA,NA,NA,NA,"1767320_s_at",0,7.4073481618121,7.35135921834864,7.28540703096218,7.59839825862747,7.41687739586978,7.18047890274103,7.13580633446277,7.21468766975178
NA,"rplX","50S ribosomal protein L24|50S ribosomal subunit protein L24",NA,"915974|947810",NA,"GO:0006412|GO:0005622|GO:0005829|GO:0005840|GO:0022625|GO:0030529|GO:0003723|GO:0003735|GO:0019843","1767321_s_at",2,8.06788396014823,8.10557093997713,8.20470612397916,8.12987162651669,7.87342722877309,8.37856354587645,8.26930125851293,8.31966092020004
NA,"ECs0206|yafE","biotin synthesis protein|putative S-adenosyl-L-methionine-dependent methyltransferase",NA,"914039|946197",NA,"GO:0008152|GO:0032259|GO:0008168","1767322_s_at",2,8.58807000658544,8.83399990964909,8.72769149605619,8.90867577100182,8.63822620031875,8.50353962086892,8.63529897959513,8.6051933884012
NA,"ECs4883|yijO","AraC family transcriptional regulator|AraC family putative transcriptional activator",NA,"914997|948451",NA,"GO:0006351|GO:0006355|GO:0019243|GO:0005829|GO:0000987|GO:0003677|GO:0003700|GO:0019172|GO:0043565","1767323_s_at",2,8.71164740085462,8.81609461213768,8.77354668066561,8.96330557454158,8.62381645121518,9.15960191346046,8.83871810085115,8.66838529585209
NA,"atpB|ECs4680","F0 sector of membrane-bound ATP synthase, subunit a|ATP synthase F0F1 subunit A",NA,"915337|948252",NA,"GO:0006754|GO:0006810|GO:0006811|GO:0015986|GO:0015992|GO:0042777|GO:0005886|GO:0005887|GO:0016020|GO:0016021|GO:0045263|GO:0015078|GO:0046933|GO:0046961","1767324_s_at",2,9.01474596073194,8.93283005525341,8.90127782885686,8.81186605312457,8.97378258035302,8.98208946974284,9.01942013673234,8.83868952374379
NA,"ECs2766","repressor protein",NA,"913129",NA,"GO:0003677|GO:0043565","1767325_s_at",1,1.15051720423052,1.15976470339852,1.45098838036007,1.02754196671923,1.59610834808623,1.06565311337321,1.01098086247217,0.901841384739154
NA,"ECs1232","hypothetical protein",NA,"912738",NA,NA,"1767326_s_at",1,2.37975070130657,2.32602987495121,2.42639774367437,2.48406620196154,1.67096656187767,2.25746896445766,2.2682043292985,2.24497888464233
NA,NA,NA,NA,NA,NA,NA,"1767327_s_at",0,8.55861148509239,8.61084166822879,8.6430059498554,9.00808756339614,8.37172999059989,9.18961162000817,8.64447592733557,8.97493422494868
NA,"yehB","putative outer membrane protein",NA,"946617",NA,"GO:0006810|GO:0006974|GO:0009297|GO:0055085|GO:0009279|GO:0016020|GO:0016021|GO:0005215|GO:0015473","1767328_at",1,6.90964157619035,6.82617003235613,6.83966792680766,6.68218526823972,7.06511226085482,6.5436948935024,6.92511175772238,6.78171275059576
NA,NA,NA,NA,NA,NA,NA,"1767329_s_at",0,7.08297377056085,6.98787833455783,6.86784113695014,7.32492769835469,6.92405316992075,7.25980166714636,7.43171443526504,7.45870818444383
